Date,Close,High,Low,Open,Volume,Return,Close_SMA_5,Close_STD_5,Volume_SMA_5,Momentum_5,Close_SMA_10,Close_STD_10,Volume_SMA_10,Momentum_10,Close_SMA_20,Close_STD_20,Volume_SMA_20,Momentum_20,Close_SMA_50,Close_STD_50,Volume_SMA_50,Momentum_50,Close_EMA_5,Close_EMA_10,Close_EMA_20,HL_PCT,OC_PCT,TrueRange,ATR_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volume_Change,Volume_MA_Ratio,DayOfWeek,Month,DayOfMonth,Quarter,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4
2010-03-17,14.51519012451172,14.5869832805143,14.299811901356868,14.397710867363092,77805900,0.010449595990248639,14.089657211303711,0.325231403179736,65721600.0,0.04955164902424891,13.846866607666016,0.35167354772543347,61458420.0,0.08382043234524961,13.674237298965455,0.30920981090167504,55355035.0,0.07647621639574687,13.37544755935669,0.4330831628058501,67237446.0,0.0736545194274636,14.159524570804834,13.944439151629432,13.720319140242813,1.9784196878860498,-0.8093538985083107,0.2871713791574315,0.2536057736732827,14.36508083343506,13.816844940185549,13.882109642028809,13.869060516357422,13.829895973205566,79.27268862911797,0.2436118110447012,0.15607347214307807,0.08753833890162313,13.674237298965455,14.292656920768804,13.055817677162105,0.09045032761719544,-0.3677447507697408,1.4055794563222659,2,3,17,1,0,0,1,0,0
2010-03-18,14.48908805847168,14.58698704977489,14.3650820055659,14.482561293071038,54458500,-0.0017982586391316335,14.213662719726562,0.33804479426145584,65857560.0,0.044705806956641725,13.955861568450928,0.36609917175366996,60629260.0,0.08134475301271915,13.718618488311767,0.35805729351829324,55947280.0,0.06525942863248924,13.394970264434814,0.46053919014964373,67279462.0,0.0722370060803037,14.269379066693784,14.04346622560075,13.793535227693182,1.5315321662307333,-0.045046074496216525,0.22190504420898982,0.25780146658606423,14.51519012451172,14.36508083343506,13.816844940185549,13.882109642028809,13.869060516357422,81.04125688714765,0.27369002230746275,0.179596782175955,0.09409324013150774,13.718618488311767,14.434733075348353,13.002503901275182,0.10440039390944704,-0.3000723595511394,0.9733895910578674,3,3,18,1,0,0,0,1,0
2010-03-19,14.352021217346191,14.61308547709288,14.234541989247033,14.521713297394683,77998500,-0.009460004699560542,14.307645034790038,0.28379102545637785,73540360.0,0.03385015587938467,14.03418025970459,0.3577819979700172,63841140.0,0.05771954280987979,13.756798839569091,0.3832675688540657,57809205.0,0.05619544814764499,13.412658138275146,0.479960571135245,68038684.0,0.06566811343373247,14.296926450244587,14.09956713319083,13.846724369564898,2.6375622089265813,1.1823566693407472,0.3785434878458478,0.26572658659044307,14.48908805847168,14.51519012451172,14.36508083343506,13.816844940185549,13.882109642028809,71.87495897473065,0.2832024908445465,0.20031792390967332,0.0828845669348732,13.756798839569091,14.523333977277224,12.99026370186096,0.11144091683645534,0.4322557543817769,1.3492401426381837,4,3,19,1,0,0,0,0,1
2010-03-22,14.51519012451172,14.554349461943628,14.25412580021082,14.273706091353224,47405700,0.011369054204596551,14.447314071655274,0.0818572181114996,76145900.0,0.050543028263642986,14.13012113571167,0.34359700115186353,65007500.0,0.07077487710059205,13.8015061378479,0.4172428117223837,58242960.0,0.0656444509791565,13.436199378967284,0.5044709877031919,67905968.0,0.08824791804914667,14.369681008333632,14.175134949794627,13.910387774797927,2.0683412284474456,-1.6636642791933085,0.300223661732808,0.263395601902225,14.352021217346191,14.48908805847168,14.51519012451172,14.36508083343506,13.816844940185549,79.1667335465741,0.3004442238501177,0.22034318389776222,0.08010103995235549,13.8015061378479,14.635991761292667,12.967020514403133,0.12092674743031924,-0.3922229273639878,0.8139301299247154,0,3,22,1,1,0,0,0,0
2010-03-23,14.7958345413208,14.848047405480022,14.593509848310427,14.61308889433709,64740900,0.01933453261043816,14.533464813232422,0.1615525282718008,64481900.0,0.02998616665512599,14.24303159713745,0.3595499186430465,63164720.0,0.08261702838086737,13.875909423828125,0.4554890473040475,58367740.0,0.11181932445175846,13.462375030517578,0.5398756744049656,68236092.0,0.09703992992886046,14.511732185996022,14.287989420981203,13.994716038276296,1.7203325466957593,-1.2351155081746288,0.3328572809683017,0.2694560618631573,14.51519012451172,14.352021217346191,14.48908805847168,14.51519012451172,14.36508083343506,87.19714068447216,0.3329164271315559,0.24285783254452098,0.09005859458703491,13.875909423828125,14.78688751843622,12.964931329220029,0.13130355161352336,0.36567754510533534,1.1091897681835892,1,3,23,1,0,1,0,0,0
2010-03-24,14.639195442199709,14.795834029256316,14.567402289645615,14.70446183135317,54729000,-0.010586702540072435,14.558265876770019,0.16745627448310368,59866520.0,0.008543141124867537,14.323961544036868,0.3470916435639806,62794060.0,0.05851811687970043,13.932364654541018,0.4772163589264568,58550685.0,0.08357490920213295,13.483863830566406,0.5648398283652231,68308944.0,0.07920821036641934,14.55421993806392,14.351845061202749,14.056095029126144,1.5604118444392854,0.4458331703484232,0.22843225167518533,0.2694560991419116,14.7958345413208,14.51519012451172,14.352021217346191,14.48908805847168,14.51519012451172,80.44865550405959,0.3420682659306422,0.26269991922174524,0.07936834670889698,13.932364654541018,14.886797372393932,12.977931936688105,0.13700943687858938,-0.1546456722103029,0.9347286030897846,2,3,24,1,0,0,1,0,0
2010-03-25,14.586977005004885,14.83498769518005,14.56086996137994,14.808881896407463,52428700,-0.0035670291718558067,14.57784366607666,0.16300975785544686,59460560.0,0.0067560460767557284,14.395753192901614,0.31534025019629064,62659060.0,0.051763887525094976,13.988493061065677,0.4852292116130879,58732650.0,0.08337299772723017,13.508711204528808,0.585535765978782,67958350.0,0.09309892576458423,14.565138960377576,14.394596323712227,14.106655217305072,1.8791949401583297,1.521253453175677,0.27411773380011084,0.27085467957764287,14.639195442199709,14.7958345413208,14.51519012451172,14.352021217346191,14.48908805847168,76.53028766823728,0.341174722809761,0.2783948799393484,0.0627798428704126,13.988493061065677,14.958951484291854,13.0180346378395,0.138750960377178,-0.04203073324928286,0.8926670259216978,3,3,25,1,0,0,0,1,0
2010-03-26,14.51519012451172,14.743621875094838,14.404237631077224,14.63919614537448,45700500,-0.004921299352739994,14.610477447509766,0.11607496940689847,53000960.0,0.011369054204596551,14.459061241149906,0.25933925745030434,63270660.0,0.045604054341007894,14.044295644760135,0.47800532595045986,58627910.0,0.0832927936375869,13.527590446472168,0.6025629733064383,67443426.0,0.06955612972282577,14.54848934842229,14.416522469312135,14.145563303705705,2.3381315787555392,0.8543189568929707,0.339384244017614,0.2867051227825697,14.586977005004885,14.639195442199709,14.7958345413208,14.51519012451172,14.352021217346191,74.25732786079664,0.3308600336265961,0.288887910676798,0.04197212294979813,14.044295644760135,15.000306296661055,13.088284992859215,0.13614219980588393,-0.12833047548384757,0.7795007531395883,4,3,26,1,0,0,0,0,1
2010-03-29,14.573934555053713,14.678360319181328,14.52824843885454,14.632674202982155,34467900,0.004047100316157071,14.622226333618164,0.10660572396948179,50413400.0,0.004047100316157071,14.534770202636722,0.12855923261830618,63279650.0,0.05479468128546561,14.091940164566044,0.4810770969395892,57791140.0,0.06995722097362544,13.540910949707031,0.618298296761203,65116352.0,0.0478882298488017,14.556971083966099,14.445142848537875,14.186360565738848,1.0300024318054515,0.40304591533982,0.16317019466960758,0.27318601168871215,14.51519012451172,14.586977005004885,14.639195442199709,14.7958345413208,14.51519012451172,73.55934235051299,0.3236944051231774,0.29584920956607386,0.02784519555710352,14.091940164566044,15.054094358445223,13.129785970686864,0.13655382901759697,-0.24578724521613549,0.5964218736643714,0,3,29,1,1,0,0,0,0
2010-03-30,14.580459594726562,14.71099240685886,14.47603384296199,14.61961894042499,37886300,0.00044771984176272817,14.579151344299316,0.04412056976075764,45042480.0,-0.014556458170220443,14.556308078765872,0.11421301933502692,54762190.0,0.01499321610430493,14.145458602905276,0.4724007224617689,56715505.0,0.07922735534619085,13.56316759109497,0.6353991100873869,61912506.0,0.08263014902246035,14.564800587552922,14.469745893299455,14.223893806594821,1.6114619869859976,0.26857415189155576,0.2349585638968712,0.272253620600216,14.573934555053713,14.51519012451172,14.586977005004885,14.639195442199709,14.7958345413208,71.21770998853148,0.31491199957305405,0.2996617675674699,0.015250232005584119,14.145458602905276,15.090260047828814,13.200657157981738,0.13358371353608703,0.09917633508278723,0.6680060417340902,1,3,30,1,0,1,0,0,0
